,CNTY_NM,X (Lat),Y (Long),CNTY_NBR,FIPS,time,temp,coco,WIND_recu_mw,NG_recu_mw,COAL_recu_mw,SOLAR_recu_mw,ESR_recu_mw,HYDRO_recu_mw,NUCLEAR_recu_mw
126,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 06:00:00,-4.0,,941,0,0,0,0,0,0
127,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 07:00:00,-4.0,,941,0,0,0,0,0,0
128,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 08:00:00,-5.0,,941,0,0,0,0,0,0
129,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 09:00:00,-5.0,,941,0,0,0,0,0,0
130,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 10:00:00,-7.0,,941,0,0,0,0,0,0
131,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 11:00:00,-8.0,,936,0,0,0,0,0,0
132,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 12:00:00,-9.0,,936,0,0,0,0,0,0
133,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 13:00:00,-9.0,,936,0,0,0,0,0,0
134,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 14:00:00,-9.0,,936,0,0,0,0,0,0
135,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 15:00:00,-8.0,,936,0,0,0,0,0,0
136,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 16:00:00,-7.0,,936,0,0,0,0,0,0
137,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 17:00:00,-2.9,,929,0,0,0,0,0,0
138,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 18:00:00,-1.6,,929,0,0,0,0,0,0
139,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 19:00:00,-0.2,,929,0,0,0,0,0,0
140,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 20:00:00,1.1,,929,0,0,0,0,0,0
141,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 21:00:00,2.3,,929,0,0,0,0,0,0
142,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 22:00:00,2.6,,929,0,0,0,0,0,0
143,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-15 23:00:00,2.5,,929,0,0,0,0,0,0
144,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 00:00:00,1.4,,929,0,0,0,0,0,0
145,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 01:00:00,-0.2,,929,0,0,0,0,0,0
146,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 02:00:00,-1.1,,929,0,0,0,0,0,0
147,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 03:00:00,-1.8,,929,0,0,0,0,0,0
148,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 04:00:00,-2.4,,929,0,0,0,0,0,0
149,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 05:00:00,-2.8,,929,0,0,0,0,0,0
150,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 06:00:00,-3.3,,929,0,0,0,0,0,0
151,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 07:00:00,-3.6,,929,0,0,0,0,0,0
152,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 08:00:00,-4.2,,929,0,0,0,0,0,0
153,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 09:00:00,-4.4,,817,0,0,0,0,0,0
154,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 10:00:00,-4.6,,817,0,0,0,0,0,0
155,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 11:00:00,-4.9,,817,0,0,0,0,0,0
156,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 12:00:00,-5.1,,817,0,0,0,0,0,0
157,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 13:00:00,-5.4,,817,0,0,0,0,0,0
158,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 14:00:00,-4.4,,817,0,0,0,0,0,0
159,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 15:00:00,-1.9,,733,0,0,0,0,0,0
